彖	彑 bj
镅	钅目 zq
镆	钅大 zm
镇	钅 zh
镊	钅又 zr
镋	钅儿 zp
镏	钅田 zq
镐	钅高 zg
镑	钅方 zl
镒	钅皿 za
镔	钅 zh
镕	钅谷 zh
镖	钅示 zf
镗	钅土 zg
镘	钅又 zr
镚	钅月 zv
镜	钅儿 zp
镞	钅矢 zo
镡	钅十 zn
镥	钅日 zo
镦	钅攵 zh
镨	钅日 zo
镪	钅虫 zc
镬	钅又 zr
镭	钅田 zq
镰	钅 zc
镱	钅心 zh
镲	钅示 zf
门	门 am
闫	门三 at
闯	门马 an
闰	门王 an
闲	门木 ae
闳	门厶 ak
闵	门文 av
闶	门几 ao
闹	门巾 ar
闺	门土 ag
闼	门辶 au
闾	门口 ad
闿	门己 av
阀	门戈 ap
阁	门各 as
阂	门亥 ak
阃	门木 ae
阄	门龟 aw
阅	门儿 ap
阇	门日 ao
阊	门曰 ao
阋	门儿 ap
阌	门又 ar
阍	门日 ao
阐	门十 an
阔	门舌 aa
阗	门 ah
阘	门羽 az
阚	门攵 ah
队	阝人 tj
阡	阝千 tl
阪	阝又 tr
阮	阝儿 tp
防	阝方 tl
阳	阝日 to
阴	阝月 tv
阵	阝车 ty
阻	阝且 tf
阼	阝乍 tw
阽	阝口 td
阿	阝可 tz
陀	阝匕 tv
陂	阝皮 tr
附	阝寸 tk
际	阝示 tf
陆	阝凵 tm
陈	阝小 ty
陉	阝工 tu
陌	阝白 tu
陎	阝未 ta
陑	阝而 tl
陔	阝亥 tk
陕	阝丷 th
陞	阝土 tg
陡	阝走 tp
院	阝儿 tp
陨	阝贝 to
陬	阝又 tr
陲	阝士 tg
陴	阝十 tn
隃	阝刂 tp
隆	阝生 tl
隋	阝⺝ tv
隍	阝王 tn
隐	阝心 th
隗	阝鬼 ta
隘	阝皿 ta
隙	阝小 ty
障	阝十 tn
隧	阝辶 tu
隩	阝大 tm
隰	阝灬 tc
雈	卝隹 lu
雨	雨 tv
雪	⻗彐 tb
雯	⻗文 tv
雱	⻗方 tl
雳	⻗力 ts
零	⻗龴 tk
雷	⻗田 tq
雹	⻗巳 tv
雾	⻗力 ts
需	⻗而 tl
霄	⻗⺝ tv
霅	⻗言 ts
霆	⻗廴 tu
霈	⻗巾 tr
霎	⻗女 tb
霏	⻗非 tr
霓	⻗儿 tp
霖	⻗木 te
霜	⻗目 tq
霨	⻗寸 tk
霰	⻗攵 th
露	⻗各 ts
霸	⻗月 tv
霾	⻗里 td
靖	立⺝ iv
靛	龶疋 at
靬	革干 te
靰	革儿 tp
靴	革 tv
靶	革巴 tm
靺	革木 te
靽	革 tu
靿	革力 ts
鞁	革皮 tr
鞅	革大 tm
鞋	革土 tg
鞍	革女 tb
鞑	革辶 tu
鞔	革 tp
鞘	革⺝ tv
鞡	革立 ti
鞣	革木 te
鞫	革言 ts
鞬	革廴 tu
鞭	革 tb
鞮	革 tt
鞯	革子 th
韋	韋 gw
韨	韦丶 gi
音	音 xy
韵	音冫 xw
韶	音口 xd
顼	王页 nw
顽	二页 mw
顾	厂页 xw
颁	八页 hw
颂	八页 hw
预	予页 iw
领	亽页 jw
颉	士页 gw
颋	㇒页 tw
颌	亼页 jw
颎	匕页 vw
颏	亥页 kw
频	止页 sw
颔	亽页 jw
颗	田页 qw
颙	田页 qw
颜	页 iw
额	宀页 ww
颟	艹页 lw
颠	十页 nw
颡	又页 rw
颢	日页 ow
颤	亠页 zw
颥	⻗页 tw
颧	艹页 lw
风	⺇乂 ob
飐	⺇口 od
飑	⺇巳 ov
飓	⺇ oh
飔	⺇心 oh
飗	⺇田 oq
飘	覀乂 vb
饥	饣几 qo
饩	饣气 qv
饫	饣大 qm
饬	饣力 qs
饭	饣又 qr
饮	饣欠 qe
饯	饣戈 qp
饰	饣巾 qr
饱	饣巳 qv
饲	饣口 qd
饳	饣凵 qm
饴	饣口 qd
饵	饣耳 qq
饶	饣儿 qp
饷	饣口 qd
饸	饣口 qd
饹	饣各 qs
饺	饣乂 qb
饻	饣衣 qt
馁	饣女 qb
馃	饣木 qe
馄	饣匕 qv
馈	饣贝 qo
馉	饣骨 qf
馍	饣大 qm
馏	饣田 qq
馐	饣土 qg
馑	饣龶 qa
馒	饣又 qr
馓	饣攵 qh
首	䒑自 ho
馧	禾皿 xa
驭	马又 nr
驮	马大 nm
驲	马日 no
驳	马乂 nb
驴	马户 nm
驵	马且 nf
驶	马 nb
驷	马四 ny
驸	马寸 nk
驹	马句 ng
驻	马王 nn
驼	马匕 nv
驽	女马 bn
驾	力马 sn
骀	马口 nd
骁	马儿 np
骃	马大 nm
骅	马十 nn
骆	马各 ns
骇	马亥 nk
骉	马马 nn
骍	马辛 nn
骎	马又 nr
骐	马 nh
骑	马可 nz
骒	马木 ne
骕	马八 nh
骗	马 ni
骝	马田 nq
骟	马羽 nz
骠	马示 nf
骡	马糸 ni
骦	马目 nq
骰	骨殳 fr
骷	骨古 fc
骸	骨亥 fk
骺	骨口 fd
骼	骨各 fs
髀	骨十 fn
髁	骨木 fe
髂	骨各 fs
髅	骨女 fb
髌	骨 fh
高	高 gg
魅	鬼未 aa
魈	鬼⺝ av
魉	鬼两 am
魑	鬼禸 av
鱼	鱼 wv
鱽	鱼刀 wp
鱾	鱼己 wv
鲁	鱼日 wo
鲂	鱼方 wl
鲃	鱼巴 wm
鲆	鱼丷 wh
鲇	鱼口 wd
鲈	鱼尸 wc
鲊	鱼乍 ww
鲋	鱼寸 wk
鲌	鱼白 wu
鲍	鱼巳 wv
鲏	鱼皮 wr
鲐	鱼口 wd
鲑	鱼土 wg
鲒	鱼口 wd
鲔	鱼⺝ wv
鲕	鱼而 wl
鲖	鱼口 wd
鲗	鱼刂 wp
鲘	鱼口 wd
鲙	鱼云 wb
鲛	鱼乂 wb
鲝	⺶鱼 gw
鲟	鱼寸 wk
鲠	鱼 wb
鲢	鱼辶 wu
鲣	鱼土 wg
鲤	鱼里 wd
鲥	鱼寸 wk
鲦	鱼木 we
鲧	鱼糸 wi
鲨	氵鱼 kw
鲩	鱼儿 wp
鲪	鱼口 wd
鲫	鱼卩 wz
鲭	鱼⺝ wv
鲯	鱼 wh
鲰	鱼又 wr
鲱	鱼非 wr
鲲	鱼匕 wv
鲳	鱼曰 wo
鲴	鱼古 wc
鲵	鱼儿 wp
鲷	鱼口 wd
鲸	鱼小 wy
鲼	鱼贝 wo
鲽	鱼木 we
鲿	鱼云 wb
鳀	鱼 wt
鳃	鱼心 wh
鳅	鱼火 wc
鳇	鱼王 wn
鳈	鱼水 wk
鳉	鱼寸 wk
鳊	鱼 wi
鳎	鱼羽 wz
鳏	鱼 wk
鳐	鱼缶 wa
鳑	鱼方 wl
鳒	鱼 wc
鳓	鱼力 ws
鳔	鱼示 wf
鳕	鱼彐 wb
鳗	鱼又 wr
鳘	𠂉鱼 ew
鳚	鱼寸 wk
鳝	鱼口 wd
鳟	鱼寸 wk
鳡	鱼心 wh
鸣	口鸟 dx
鸤	尸鸟 cx
鸧	人鸟 jx
鸨	匕鸟 vx
鸪	古鸟 cx
鸫	鸟 rx
鸮	口鸟 dx
鸰	亽鸟 jx
鸲	句鸟 gx
鸷	扌鸟 ux
鸸	而鸟 lx
鸹	舌鸟 ax
鸻	行鸟 px
鸼	舟鸟 ix
鸽	亼鸟 jx
鹀	工鸟 ux
鹄	⺧鸟 qx
鹆	谷鸟 hx
鹇	门鸟 ax
鹈	丷鸟 hx
鹊	龷鸟 lx
鹋	艹鸟 lx
鹍	日鸟 ox
鹏	月鸟 vx
鹑	鸟 gx
鹒	广鸟 xx
鹕	古鸟 cx
鹖	曰鸟 ox
鹘	骨鸟 fx
鹚	䒑鸟 hx
鹞	爫鸟 yx
鹟	八鸟 hx
鹡	冫鸟 wx
鹢	鸟 kx
鹣	䒑鸟 hx
鹤	冖鸟 wx
鹦	贝鸟 ox
鹧	广鸟 xx
鹪	隹鸟 ux
鹫	鸟 gx
鹭	⻊鸟 px
鹯	亠鸟 zx
鹲	艹鸟 lx
鹳	艹鸟 lx
鹴	⻗鸟 tx
麀	鹿匕 xv
麂	鹿几 xo
麇	鹿禾 xx
麈	鹿王 xn
麋	鹿米 xp
麑	鹿儿 xp
麒	鹿 xh
麓	木鹿 ex
麖	鹿小 xy
麝	鹿寸 xk
麦	龶夂 ah
麸	龶夫 ah
麹	龶米 ap
麻	麻 zm
麽	麻厶 zk
黇	黄口 nd
黛	亻黑 jp
黾	黾 dm
鼗	儿支 pc
鼙	十 hn
鼢	鼠刀 pp
鼩	鼠句 pg
鼫	鼠石 pm
鼯	鼠口 pd
鼱	鼠⺝ pv
鼷	鼠大 pm
鼾	自干 oe
齁	自句 og
龀	齿 lv
龃	齿且 lf
龄	齿龴 lk
龅	齿巳 lv
龆	齿口 ld
龇	齿匕 lv
龉	齿口 ld
龊	齿足 lp
龌	齿至 ly
龚	龙八 th
龟	龟 wg
龠	侖口 jd
鿎	石辶 mu
鿏	钅夂 zh
㘎	口攵 dh
㛃	丰女 ab
㥄	忄夊 hh
䂮	丰石 am
䃎	石夕 ml
䌹	纟口 id
䐃	月禾 vx
䓨	艹缶 la
䴗	目鸟 qx
䴙	尸鸟 cx
亂	爫乚 ya
勚	廿力 ls
卨	⺊口 yd
厶	厶 ks
叢	业又 cr
喎	口口 dd
圌	囗而 rl
壡	土 gg
奂	⺈大 xm
嫱	女口 bd
実	宀㇏ wi
寁	宀龰 ws
幾	幺丶 ii
庱	广夊 xh
廙	广八 xh
彙	彑木 be
憂	夂 wh
揲	扌木 ue
搣	扌火 uc
摺	扌白 uu
擗	扌辛 un
敁	⺊攴 yh
敯	民攴 dh
敹	⺊攵 yh
朁	曰 do
榅	木皿 ea
櫜	十木 ne
歸	丿巾 tr
氶	乛水 ak
氽	人水 jk
泶	⺍水 kk
洓	氵冂 km
灏	氵页 kw
煓	火而 cl
猯	犭而 ml
獭	犭贝 mo
祾	礻夊 fh
穨	禾貝 xo
粦	米㐄 pv
缲	纟木 ie
翷	米羽 pz
肀	肀 bv
腨	月而 vl
興	 ph
苶	艹小 ly
袞	衣口 td
裵	衣非 tr
襫	衤白 tu
謦	士言 gs
诶	讠矢 so
豑	曲𢎨 yt
蹢	⻊古 pc
軎	車口 yd
輿	 ph
銜	行金 pz
門	門 am
韱	人一 jf
颛	山页 vw
饜	厂食 xq
馔	饣八 qh
鳁	鱼皿 wa
麴	木米 ep
𦒍	立羽 iz
𨭉	文金 vz
𬣞	讠一 sf
䑝	口㐄 dv
來	木人 ej
僕	亻㇏ ji
剺	未刀 ap
卥	⺊丶 yi
嘂	口口 dd
嘥	口龰 ds
嚱	口戈 dp
囧	囗 rm
報	土又 gr
奲	大十 mn
尓	𠂉小 ey
巭	工夫 uh
挢	扌 up
撲	扌㇏ ui
敠	又攴 rh
旹	屮日 so
曐	日生 ol
曑	日彡 oe
曫	言日 so
樸	木㇏ ei
檒	木虫 ec
欒	言木 se
氺	氺 ks
沊	冖水 wk
當	田 sq
疈	一田 fq
礡	石寸 mk
禜	火示 cf
綥	糹丌 il
緖	糹日 io
緜	白糸 ui
纇	米頁 pw
肻	⺊⺝ yv
薬	艹木 le
蛓	十虫 nc
衺	衣牙 tl
訁	訁 sy
賞	貝 so
賣	士貝 go
賮	⺻貝 bo
贌	貝㇏ oi
贗	厂貝 xo
鏷	金㇏ zi
靨	厂面 xb
魘	厂鬼 xa
鳋	鱼虫 wc
黨	黑 sp
齋	齊小 qy
齌	齊火 qc
齍	齊皿 qa
𠅤	亠心 zh
𣲘	氵无 kd
𥔲	石ㄅ ma
𥖨	石木 me
𨟠	目阝 qt
𨱏	钅口 zd
𫑡	黾阝 dt
𫓶	钅⺝ zv
𫔎	钅口 zd
𫔶	门木 ae
𫖮	山页 vw
𫖯	儿页 pw
𫖳	页 bw
𫘦	马缶 na
𫘪	马小 ny
𫚖	鱼 sw
𫛭	犭鸟 mx
𫠆	支页 cw
𬍡	氵丶 ki
𬘘	纟 ip
𬟁	艹鸟 lx
𬩽	彐阝 bt
𬭸	钅㐄 zv
𬱟	⺈页 xw
𬳶	马口 nd
𬴃	马石 nm
𬴊	马㐄 nv
𬷕	甫鸟 nx
𬸘	匸鸟 nx
𬸚	犭鸟 mx
𬸣	宀鸟 wx
𬸦	方鸟 lx
𬸪	丿鸟 tx
𬹼	齿 lp
䏕	月士 vg
䐌	⺝ iv
丩	丩 ij
乁	乁 ae
乊	丿丷 th
亅	亅 gs
値	亻㇗ ja
喪	土 gt
喰	口食 dq
嚢	十 nt
坣	龸土 sg
奍	丷 hp
妉	女 bp
孃	女一 bf
廫	广彡 xe
彑	彑 bj
恴	亠心 zh
戉	戉 nu
梺	木卜 ey
毉	匸人 nj
氎	田毛 qv
沗	一氺 fk
湚	氵月 kv
灊	氵鬲 kn
砯	石水 mk
稁	禾 gx
稩	禾⺝ xv
竒	可 iz
臦	臣臣 qq
莀	艹辰 lf
蝆	虫芈 cg
袌	衣巳 tv
袲	衣夕 tl
裦	衣丿 tt
褎	衣禾 tx
褏	衣由 td
褢	衣鬼 ta
襃	衣木 te
豙	豕 ij
轐	車㇏ yi
郶	立巴 im
鄡	阝 xt
酨	十酉 ny
韯	十一 nf
韲	一 qf
鷪	目鳥 qx
鼉	口黽 dd
𪾢	目见 qe
𬀪	日见 oe
𬒗	石见 me
𬳿	马 nx
䑕	䑕 ps
䝪	貝疋 ot
亣	亠 zp
儁	亻 jm
匷	匚隹 nu
啇	古 ic
喒	口日 do
嗋	口⺝ dv
嗭	十 nv
夣	夕 bl
夰	大 mp
奨	丬大 am
寯	宀 wm
彛	廾 bl
恱	忄儿 hp
愶	忄⺝ hv
攛	扌鼠 up
敼	壴攴 hh
斲	斤 ct
旤	冎旡 fd
昦	日 op
槞	木竜 et
橩	木十 en
檪	木木 ee
檿	厂木 xe
滝	氵竜 kt
潊	氵攴 kh
澙	氵灬 kc
烖	十火 nc
焭	火几 co
熁	火⺝ cv
犥	牜灬 qc
獛	犭㇏ mi
瓙	王灬 nc
畣	亼田 jq
疉	田彑 qb
疎	⺪束 tx
瞨	目㇏ qi
碯	石乂 mb
磭	石⺝ mv
禼	⺊禸 yv
竄	穴鼠 ep
篭	⺮竜 rt
糣	米曰 po
臇	月 vm
臷	十至 ny
莔	艹冂 lm
蓨	艹⺝ lv
蕥	艹隹 lu
薙	艹隹 lu
藛	艹灬 lc
螧	虫日 co
蟨	厂虫 xc
衻	衤二 tm
襆	衤㇏ ti
觹	⺈ xm
觽	⺈ xm
贋	厂貝 xo
蹷	厂足 xp
躥	⻊鼠 pp
逓	⺁辶 xu
鄨	㡀巴 fm
鏅	金⺝ zv
鐫	金 zm
鑹	金鼠 zp
閷	㐅人 bj
雛	勹隹 nu
雝	巛隹 ou
韀	革灬 tc
飠	飠 qs
鷢	厂鳥 xx
黶	厂黑 xp
鼈	㡀黽 fd
𬣳	讠艮 si
㐄	㐄 vk
㴄	氵冂 km
㶳	聿火 bc
儸	亻隹 ju
囉	口隹 du
囖	口隹 du
圅	龴 kg
夛	夕 bl
尙	尙 ss
尩	八王 hn
彐	彐 bj
慶	夊 xh
懏	忄 hm
懼	忄隹 hu
懽	忄隹 hu
戼	戼 bm
擁	扌隹 uu
擕	扌 um
斄	未人 aj
旣	白旡 ud
晉	一日 fo
曪	日隹 ou
極	木一 ef
檇	木 em
欏	木隹 eu
渋	氵 kw
燿	火隹 cu
爠	火隹 cu
爾	一 ff
玀	犭隹 mu
瑴	士殳 gr
甞	甘 sz
癕	疒隹 au
癰	疒隹 au
眾	罒人 yj
睂	人目 jq
矅	目隹 qu
稶	禾彡 xe
籊	⺮隹 ru
籮	⺮隹 ru
纙	糹隹 iu
羅	罒隹 yu
翫	羽儿 zp
臞	月隹 vu
蕠	艹糸 li
蘿	艹隹 lu
螤	文人 vj
蠸	虫隹 cu
褷	衤龰 ts
豗	一豕 fj
躍	⻊隹 pu
躪	⻊隹 pu
轥	車隹 yu
邏	罒辶 yu
鄉	乡阝 it
鑼	金隹 zu
霢	⻗ tt
髟	镸彡 pe
黆	黄 np
黭	黑廾 pl
鼊	尸黽 cd
鼔	壴攴 hh
龍	龍 tl
𡣹	言女 sb
𢨖	一戈 fp
𢼟	屮攴 sh
𣣴	罒欠 ye
𤊾	卝火 lc
𥎕	予丶 ii
𦑲	罒羽 yz
𩑕	二頁 mw
𩑦	頁 pw
𩕤	頁 ew
𫚭	鱼 wp
㝹	𡭔兔 yw
㞗	尸丶 ci
㪿	斤 st
㼢	瓦 qr
㽉	臣瓦 qr
䌷	纟由 id
䐴	⺝ iv
䒑	䒑 hb
䝂	臣豆 qz
䪥	一 gf
丱	丱 lc
丼	井丶 qi
乇	丿七 tr
乣	幺乚 ia
亷	 ic
佢	亻コ jn
佧	亻卜 jy
俤	亻𢎨 jt
兓	旡旡 dd
円	円 vy
凾	了凵 rm
匽	匸女 nb
卌	卌 lx
卍	ヿヿ aa
卐	ヿヿ aa
厯	厂 xs
吔	口也 de
哋	口也 de
哜	口齐 dq
唞	口斗 dj
啩	口卜 dy
啲	口丶 di
嗱	口手 du
嘢	口予 di
噰	口隹 du
噳	口大 dm
嚁	口隹 du
囃	口隹 du
囄	口隹 du
囪	丿丶 ti
囬	囗 rd
圖	囗口 rd
坶	土母 gk
垅	土龙 gt
垇	土一 gf
奀	不大 cm
嬅	女 bu
尛	小小 yy
巰	一 fo
廱	广隹 xu
弪	弓工 bu
忂	彳隹 wu
揎	扌一 uf
揧	束手 xu
揺	扌凵 um
斉	斉 qq
斨	爿斤 at
斬	車斤 yt
東	木日 eo
栆	一⺀ fw
業	业八 ch
櫂	木隹 eu
欋	木隹 eu
毦	耳毛 qv
毭	豆毛 zv
沢	氵㇏ ki
沲	氵也 ke
渖	氵丨 kg
澞	氵大 km
灉	氵隹 ku
焺	火廾 cl
犼	犭乚 ma
玊	王丶 ni
瑊	王口 nd
畊	田井 qq
畱	田 bq
痖	疒业 ac
瞓	目川 qo
砩	石弗 mt
祂	礻也 fe
窢	穴㇀ ef
簦	⺮豆 rz
籱	⺮隹 ru
粵	丿ㄅ ta
緣	糹 ij
縐	糹 is
繆	糹彡 ie
繯	糹 it
纔	糹兔 iw
纖	糹一 if
羴	羊羊 gg
肅	𦘒 ba
肜	月彡 ve
舉	 pu
菸	艹⺀ lw
藋	艹隹 lu
蟓	虫象 cw
蠗	虫隹 cu
蠛	虫丶 ci
蠷	虫隹 cu
豊	曲豆 yz
跩	⻊丿 pt
躙	⻊隹 pu
躣	⻊隹 pu
躾	身大 zm
輒	車㇗ ya
轘	車 yt
郷	乡阝 it
醫	匸酉 ny
釒	釒 zj
鑃	金隹 zu
鑺	金隹 zu
閞	門廾 al
閪	門西 av
闓	門豆 az
雗	十隹 nu
雡	羽隹 zu
雫	⻗卜 ty
飛	飛 cf
饠	飠隹 qu
駹	馬彡 ne
騁	馬ㄅ na
騶	馬 ns
鬥	鬥 jd
鬭	鬥斤 jt
鬵	旡鬲 dn
鶝	一鳥 fx
鹵	⺊ yp
麥	木夂 eh
黕	黑 pp
黤	黑乚 pa
鼑	⺊ ya
齄	自一 of
龜	龜 wg
𢞭	卯心 bh
㐁	一人 fj
㒿	⺜隹 ou
㓪	丶刀 ip
㔯	匚口 nd
㕟	⺊又 yr
㕢	又 gr
㞎	尸巴 cm
㞷	屮王 sn
㨄	扌口 ud
㮂	木 qe
㯱	十木 ne
㯺	臣木 qe
㯻	十木 ne
㰱	千欠 le
㲃	⺊殳 yr
㲊	殳 gr
㲦	十毛 nv
㷏	禾火 xc
䀆	⺻皿 ba
䋰	糸 qi
䍙	罒母 yk
䡞	車 qy
䮥	馬鬲 nn
䱷	虍攵 zh
丒	刀一 pf
乢	山乚 va
乭	石乙 ma
亁	十乙 na
仌	人人 jj
仧	⺊人 yj
伦	亻仑 jj
佖	亻丿 jt
係	亻糸 ji
僼	亻豆 jz
兦	亾 fw
兲	王八 nh
冇	𠂇冂 nm
冓	土 qg
冚	冖山 wv
冧	冖木 we
凪	几止 os
刋	刂 lp
刔	刂 np
剄	一刂 fp
剢	豕刂 jp
剮	冎刂 fp
剰	禾刂 xp
剱	亼丶 ji
劇	虍刂 zp
劏	刂 sp
劒	亼丶 ji
劧	手力 us
勁	一力 fs
勍	力 gs
勔	面力 bs
匜	匚也 ne
匥	匚廾 nl
匫	匚曰 no
収	丩又 ir
叒	又又 rr
叡	又 gr
叴	九口 kd
呑	丿口 td
呯	口丷 dh
咁	口甘 dz
咗	口工 du
咭	口口 dd
咲	口大 dm
唓	口車 dy
唸	口心 dh
問	門口 ad
啱	口石 dm
啽	口廾 dl
喥	口又 dr
喬	丿口 td
喺	口糸 di
嗮	口西 dv
嗻	口灬 dc
嘅	口旡 dd
噃	口田 dq
嚟	口氺 dk
嚡	口土 dg
嚮	乡口 id
嚳	口 pd
囝	囗子 rh
圱	土 lg
埜	木土 eg
埫	土尚 gs
執	土丶 gi
堀	土凵 gm
塏	土豆 gz
壆	土 pg
壞	土水 gk
壯	爿士 ag
壴	壴 hu
壷	士业 gc
壺	士 gc
壾	壴コ hn
夊	夊 hi
夒	一夊 fh
夓	夊 ph
奊	土大 gm
奧	丿大 tm
奿	九女 kb
妝	爿女 ab
妳	女小 by
婋	女虎 bz
婓	非女 rb
婖	女⺗ bh
嫐	女女 bb
嫛	匸女 nb
嬲	田力 qs
學	子 ph
寬	宀丶 wi
尃	甫寸 nk
專	十寸 nk
對	业寸 ck
屄	尸穴 ce
屌	尸巾 cr
嶀	山ㄅ va
巵	⺁巴 xm
巸	巳 qv
巿	一巾 fr
帥	丿巾 tr
庀	广匕 xv
広	广厶 xk
庬	广彡 xe
弅	八廾 hl
弿	宀弓 wb
彆	㡀弓 fb
彎	言弓 sb
彏	弓又 br
彣	文彡 ve
彥	文彡 ve
後	彳夊 wh
怹	亻心 jh
恏	女心 bh
悶	門心 ah
惗	忄心 hh
惢	心心 hh
愝	忄女 hb
愷	忄豆 hz
慜	𠂉心 eh
慮	虍心 zh
憀	忄彡 he
憝	心 gh
懁	忄 ht
懷	忄水 hk
懺	忄一 hf
扌	扌 us
抦	扌人 uj
挼	扌女 ub
捱	扌土 ug
掟	扌疋 ut
揜	扌廾 ul
揞	扌音 ux
揼	扌水 uk
揾	扌皿 ua
搊	扌 us
摎	扌彡 ue
摦	扌瓜 uy
撐	扌牙 ul
撚	扌灬 uc
據	扌豕 uj
擝	扌皿 ua
擥	臣手 qu
擧	手 pu
攔	扌丷 uh
攕	扌一 uf
攙	扌兔 uw
攣	言手 su
攰	支力 cs
敊	⺊攴 yh
斅	攴 ph
斕	文丷 vh
斚	厶斗 kj
斢	黄斗 nj
斸	尸斤 ct
昍	日日 oo
昰	日止 os
晹	日 oe
暋	民日 do
暒	日生 ol
暟	日豆 oz
曱	曱 sj
曵	曰丶 oi
書	曰 bo
朊	月儿 vp
朒	月人 vj
朿	木冂 em
桜	木女 eb
楱	木大 em
榀	木口 ed
榘	矢木 oe
榿	木豆 ez
槑	口木 de
樛	木彡 ee
橕	木牙 el
櫃	木貝 eo
櫼	木一 ef
欄	木丷 eh
欗	木丷 eh
欰	丿欠 te
欶	束欠 xe
欷	㐅欠 be
歺	歺 gd
氂	未毛 av
氹	乙水 ak
氼	水人 kj
涁	氵彡 ke
渉	氵丿 kt
湦	氵生 kl
滅	氵火 kc
滾	氵口 kd
潨	氵 kk
濣	氵斗 kj
濿	氵⽱ kv
瀟	氵 ka
瀾	氵丷 kh
灃	氵豆 kz
灣	氵弓 kb
災	巛火 oc
炤	火口 cd
烎	一火 fc
烓	火土 cg
焛	門火 ac
煼	火 cs
熳	火又 cr
爄	火⽱ cv
爛	火丷 ch
牆	爿口 ad
牖	片甫 an
犮	𠂇丶 ni
狀	爿犬 am
猆	非犬 rm
猋	犬犬 mm
猓	犭木 me
猭	犭 mj
猸	犭目 mq
獻	虍犬 zm
玏	王力 ns
玽	王句 ng
珃	王土 ng
珄	王生 nl
珮	王巾 nr
琂	王言 ns
琞	日丶 oi
瑿	匸丶 ni
環	王 nt
瓌	王水 nk
瓓	王丷 nh
瓡	土瓜 gy
瓨	工瓦 ur
甇	火瓦 cr
甖	貝瓦 or
甙	弋甘 pz
畑	火田 cq
畝	亠㇏ zi
畞	十㇏ ni
疀	巛龰 os
痝	疒彡 ae
癴	疒手 au
發	癶殳 hr
皚	白豆 uz
皺	勹皮 nr
皻	虍皮 zr
盀	卜皿 ya
盁	乃皿 va
盃	不皿 ca
盙	甫皿 na
盠	彑皿 ba
盡	⺻皿 ba
矋	目⽱ qv
矤	弓矢 bo
矽	石夕 ml
砦	石 sm
砳	石石 mm
磺	石黄 mn
礐	石 pm
礤	石示 mf
礪	石⽱ mv
禮	礻豆 fz
秅	禾七 xr
穂	禾心 xh
穉	禾牛 xq
穋	禾彡 xe
穡	禾口 xd
穩	禾心 xh
穫	禾又 xr
穮	禾灬 xc
穵	穴乙 ea
窮	穴弓 eb
筊	⺮乂 rb
箝	⺮甘 rz
篋	⺮人 rj
篫	⺮手 ru
籣	⺮丷 rh
籤	⺮一 rf
粂	米 xp
粄	米又 pr
糯	米而 pl
糲	米⽱ pv
糷	米丷 ph
糹	糹 is
紘	糹厶 ik
紞	糹 ip
紣	糹十 in
絕	糹巴 im
經	糹工 iu
続	糹儿 ip
綠	糹氺 ik
綴	糹又 ir
綹	糹口 id
綿	糹巾 ir
緝	糹耳 iq
緡	糹日 io
縕	糹皿 ia
縛	糹寸 ik
縰	糹龰 is
縱	糹龰 is
總	糹心 ih
織	糹戈 ip
繚	糹小 iy
繳	糹攵 ih
纗	糹口 id
纜	糹見 ie
缋	纟贝 io
缍	纟士 ig
缏	纟 ib
罥	罒⺝ yv
翙	山羽 vz
翧	宀羽 wz
聖	耳王 qn
聞	門耳 aq
聰	耳心 qh
職	耳戈 qp
肏	入人 jj
膖	月辶 vu
膠	月彡 ve
膣	月至 vy
膪	月口 vd
臁	月 vc
臤	臣又 qr
臥	臣人 qj
臨	臣口 qd
與	 ph
舋	且 pf
舖	人甫 jn
舡	舟工 iu
舨	舟又 ir
艱	廿艮 li
艶	曲巴 ym
艹	艹 lc
芶	艹厶 lk
茍	卝句 lg
荈	艹㐄 lv
莯	艹木 le
菓	艹木 le
菾	艹⺗ lh
萛	艹廾 ll
葊	艹廾 ll
蕕	艹酉 ly
藭	艹弓 lb
藲	艹口 ld
藹	艹亾 lf
蘭	艹丷 lh
蘴	艹豆 lz
虓	九虎 kz
蚃	乡虫 ic
蚵	虫可 cz
蝨	⺄虫 ac
螓	虫禾 cx
螘	虫豆 cz
蟉	虫彡 ce
蟗	十虫 nc
蟸	豕虫 jc
蠣	虫⽱ cv
蠶	虫 dc
衋	聿皿 ba
術	行丶 pi
衕	行口 pd
衖	行八 ph
衛	行韋 pg
衝	行里 pd
袠	衣夫 th
袰	母衣 kt
裏	衣里 td
褭	衣馬 tn
褱	衣水 tk
褻	衣丶 ti
襴	衤丷 th
覀	覀 vx
覔	不見 ce
覯	見 qe
覺	見 pe
覽	臣見 qe
觷	用 pt
謅	言 ss
謣	言ㄅ sa
謬	言彡 se
譞	言 st
譽	言 ps
讒	言兔 sw
讕	言丷 sh
讖	言一 sf
谘	讠口 sd
谸	谷 lh
豐	山豆 vz
豟	豕乙 ja
貜	豸又 mr
貫	毌貝 ko
贀	匸貝 no
贓	貝臣 oq
趨	走 ps
跫	工足 up
踂	⻊㇗ pa
躭	身 zp
躽	身女 zb
軆	身豆 zz
軣	車 yw
軶	車乙 ya
輕	車工 yu
輜	車田 yq
輟	車又 yr
輩	非車 ry
輯	車耳 yq
輻	車田 yq
轇	車彡 ye
轡	糹口 id
轢	車木 ye
辢	束辛 xn
込	入辶 ju
逌	⺊辶 yu
逕	一辶 fu
過	冎辶 fu
遫	束辶 xu
邤	斤阝 tt
